budget,runtime,vote_average,vote_count,popularity,release_year,release_month,primary_genre,lead_actor,director,production_company,release_season,budget_per_minute,vote_weighted_score,budget_log,popularity_log,revenue,roi
8000000,154.0,8.3,8670.0,140.950236,1994,9,Thriller,John Travolta,Quentin Tarantino,Miramax Films,Fall,51948.05194805195,75.26223704803044,15.894952224644102,4.955476545474837,213928762.0,25.74109525
400000,105.0,6.1,9.0,1.638622,1992,2,Comedy,Sihung Lung,Ang Lee,Ang Lee Productions,Winter,3809.5238095238096,14.045769067263679,12.899222326086994,0.9702568111876503,152322.0,-0.619195
32000000,107.0,6.2,431.0,7.54701,1995,2,Action,Sharon Stone,Sam Raimi,TriStar Pictures,Winter,299065.4205607477,37.624238647113486,17.281246492014,2.1455815141843666,18552460.0,-0.420235625
22000000,108.0,6.4,7.0,3.395867,1995,3,Drama,Peter Falk,Peter Yates,Hollywood Pictures,Spring,203703.7037037037,13.30842586675095,16.906553056777135,1.4806647813066198,12400000.0,-0.43636363636363634
15000000,133.0,5.3,33.0,6.259433,1994,12,Drama,Marcello Mastroianni,Robert Altman,Miramax Films,Winter,112781.95488721805,18.689710780465656,16.52356082573315,1.9823017266132517,11300653.0,-0.24662313333333333
35000000,89.0,6.5,251.0,8.910462,1994,11,Animation,Michelle Nicastro,Richard Rich,Rich Animation Studios,Fall,393258.42696629214,35.941289068824254,17.370858648025116,2.293590966831424,9771658.0,-0.7208097714285714
45000000,110.0,5.5,317.0,10.388183,1994,10,Action,Sylvester Stallone,Luis Llosa,Jerry Weintraub Productions,Fall,409090.9090909091,31.691282605290972,17.622173069956816,2.432576238833569,170362582.0,2.7858351555555556
55000000,121.0,6.8,942.0,13.328924,1994,10,Action,Kurt Russell,Roland Emmerich,Centropolis Entertainment,Fall,454545.45454545453,46.57365072190751,17.822843761378564,2.6622801517913053,196567262.0,2.5739502181818184
22000000,97.0,6.3,501.0,9.665424,1994,11,Fantasy,Tim Allen,John Pasquin,Walt Disney Pictures,Fall,226804.12371134022,39.17718075405789,16.906553056777135,2.3670071073449646,189833357.0,7.628788954545454
25000000,142.0,8.5,8358.0,51.645403,1994,9,Drama,Tim Robbins,Frank Darabont,Castle Rock Entertainment,Fall,176056.338028169,76.76429969444283,17.034386422832473,3.9635789223273856,28341469.0,0.13365876
25000000,98.0,5.5,140.0,7.602087,1995,3,Action,Lori Petty,Rachel Talalay,Trilogy Entertainment Group,Spring,255102.04081632654,27.218179397079926,17.034386422832473,2.152004848237393,4064495.0,-0.8374202
38000000,118.0,6.4,461.0,8.105708,1994,11,Science Fiction,Patrick Stewart,David Carson,Paramount Pictures,Fall,322033.89830508473,39.26761530292313,17.453096744006448,2.2089014696292772,120000000.0,2.1578947368421053
6000000,98.0,5.4,33.0,2.86007,1995,5,Crime,Clarence Williams III,Rusty Cundieff,40 Acres & A Mule Filmworks,Spring,61224.489795918365,19.042346832927272,15.607270193858982,1.3506853180273335,12000000.0,1.0
